comuMerged,development / aka,units,type,agent,agent address,website,source,zip,combinedPhone
0701,Federation of Multicultural programs,5.0,special,,"152 Washington Av, Belleville 07109","The Official Website of The Township of Belleville, NJ - Home (bellevillenj.org)",MtL,7109.0,(973) 450-3322
0701,Franklin Manor / Horizons,107.0,age,DeCamp Realty,"1 Tower Dr, Woodland Park 07424",Franklin Manor (franklinmanorbellevillenj.com),HMFA,7109.0,(973) 302-4430
0701,Project Live Inc group homes 1 & 2,6.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,MtL,7109.0,(973) 481-1211
0701,United Cerebral Palsy group home 2 / CPEWH 2,6.0,special,Cerebral Palsy of NJ,"7 Sanford Av, Belleville  07109",Cerebral Palsy School in NJ for Special Needs - 1st Cerebral Palsy of NJ (cerebralpalsycenter.org),HUD,7109.0,(973) 751-0200
0702,Bloomfield Housing Authority,,,Bloomfield Housing Authority,"1 Municipal Plz,  Bloomfield 07003","Bloomfield, NJ Low Income Housing",PHA,7003.0,(973) 680-4035
0702,Bloomfield Township housing rehab,42.0,,Bloomfield Township,"1 Municipal Plz, rm 105, Bloomfield 07003","Bloomfield Twp, MI - Home",MtL,7003.0,(973) 680-4192
0702,Center for Family Support group home,5.0,special,Center for Family Support of NJ Inc,"205 Robin Rd, Ste 122, Paramus 07652",New Jersey Programs and Services | CFSNY,MtL,7003.0,(201) 262-4021
0702,Easter Seal special needs housing,3.0,special,Easter Seals Society of NJ Inc,"25 Kennedy Blvd, ste 600, East Brunswick 08816",Easterseals New Jersey | Home,MtL,7003.0,(732) 257-6662
0702,Essex County ARC group homes 1 & 2,12.0,special,Essex County ARC,"123 Naylor Av, Livingston 07039",The Arc of Essex County (arcessex.org),MtL,7003.0,(973) 535-1181
0702,Felicity Towers / Bloomfield Senior Apts,148.0,age,R P Marzulli Realty,"264 Belleville Av, Bloomfield 07003","Felicity Tower | Bloomfield, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7003.0,(973) 743-2060
0702,Heritage Village at Bloomfield,81.0,age,Community Investment Strategies,"1970 Brunswick Av, ste 100, Lawrenceville 08648","Heritage Village at Bloomfield | Apartments in Bloomfield, NJ (cis-bloomfield.com)",HMFA,7003.0,(973) 748-1952
0702,Kinder Tower,100.0,age,National Church Residences,"2335 N Bank Dr, Columbus OH 43220",Kinder Towers | National Church Residences,MtL,7003.0,(973) 748-0982
0702,Project Live group home,5.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,MtL,7003.0,(973) 481-1211
0702,United Cerebral Palsy group home 1 / CPEWH 1,6.0,special,Cerebral Palsy of NJ,"7 Sanford Av, Belleville  07109",Cerebral Palsy School in NJ for Special Needs - 1st Cerebral Palsy of NJ (cerebralpalsycenter.org),HUD,7003.0,(973) 751-0200
0703,Marian Manor ,160.0,age,,,,HMFA,7006.0,(973) 226-3433
0704,Arbor Glen Center,35.0,special,,"25 E Lindsey Rd, Cedar Grove","Long Term Care Services, Transitional Care, Rehab | Genesis HealthCare (genesishcc.com)",MtL,7009.0,(973) 256-7220
0704,Cedar Grove Senior Apts / Cedar Ridge,149.0,age,Marzulli Realty,"264 Belleville Av, Bloomfield 07003",Marzulli Real Estate - Home (weebly.com),HUD,7009.0,(973) 857-2290
0704,Essex County ARC group home,4.0,special,Essex County ARC,"123 Naylor Av, Livingston 07039",The Arc of Essex County (arcessex.org),MtL,7009.0,(973) 535-1181
0704,Hilltop at Cedar Grove,90.0,family,"Community Grants, Planning & Housing (CGP&G)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7009.0,(609) 664-2769
0705,East Orange Housing Authority,,,East Orange Housing Authority,"7 Glenwood Av, suite 304 A, East Orange 07107",East Orange Housing Authority (eoha.org),PHA,7017.0,(973) 766-8896
0705,106 N Walnut St,36.0,family,NJ HMFA,"637 S Clinton Av, PO Box 18550 Trenton 08625",,tax credit,7017.0,(609) 278-7400
0705,2-8 N 19th St  Apts,5.0,,East Orange Housing Authority,"7 Glenwood Av, suite 304 A, East Orange 07107",East Orange Housing Authority (eoha.org),MtL,7018.0,(973) 266-5151
0705,329 Park Av,38.0,family,CAPC / Community Asset Preservation Corp,"421 Halsey St, Newark 07102",,HMFA,7017.0,(973) 673-1040
0705,65-67 4th Av,11.0,family,,,,MtL,7018.0,nan nan
0705,725 Park Av,50.0,family,RPM Development,"77 Park St, Montclair 07042",RPM Development Group,MtL,7017.0,(973) 744-5410 x 130
0705,Arlington Grove Apts,94.0,family,Regan Development,"1055 Saw Mill Rd, Adsley, NY 10502",Regan Development |,HMFA,7017.0,(732) 780-8314
0705,Arlington House,179.0,age,SHP Mgt,"7 Thomas Dr, Cumberland Foreside, ME 04110","Apartments for Rent in East Orange, NJ | ARLINGTON HOUSE - Home (oahsarlingtonhouse.com)",HMFA,7018.0,(973) 678-3866
0705,Bailey Holt Tower / Grove St Apts,127.0,age,Community Realty Mgt,"36 S Main St, Pleasantville 08232",Properties - Community Realty Management (CRM) (crmresidential.com),HMFA,7018.0,(973) 673-5070
0705,Bishop Taylor Manor,76.0,age,,,,HUD,7017.0,(973) 676-9057
0705,Brick Church Commons / King Plaza,104.0,family,RPM Development,"77 Park St, Montclair 07402","Brick Church Commons | Apartments in East Orange, NJ",HMFA,7018.0,(973) 744-5410 x 130
0705,Brookside Apts / East Orange Senior Apts,203.0,age,Marzulli Realty,"264 Belleville Av, Bloomfield 07003","The Brookside | East Orange, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7017.0,(973) 674-8548
0705,Carlton St project ,4.0,,City of East Orange,"44 City Hall Plz, East Orange 07108",,MtL,7018.0,(973) 266-5100
0705,Chestnut Park Apts,60.0,family,,,,HMFA,7018.0,(973) 672-7215
0705,Citation Homes,6.0,,City of East Orange,"44 City Hall Plz, East Orange 07108",,MtL,7018.0,(973) 266-5100
0705,Concord Towers,64.0,age,East Orange Housing Authority,"7 Glenwood Av, suite 304 A, East Orange 07107",East Orange Housing Authority (eoha.org),PHA,7017.0,(973) 766-8896
0705,Coppergate House,124.0,age,East Orange Senior Hsg,,,HUD,7017.0,(973) 678-4900
0705,Corinthian Towers,221.0,family,Community Realty Mgt,"35 S Main St, Pleasantville 08232","Apartments for Rent in East Orange, NJ | Corinthian Towers - Home (corinthiantowerscrm.com)",HMFA,7102.0,(973) 672-2003
0705,Doddtown Plaza Apts / Cathage,60.0,family,C & C Apt Mgt,"1735 Park Av, ste 201, NY, NY 10035","Doddtown Plaza Apartment - East Orange, NJ | Apartments.com",tax credit,7017.0,(973) 673-1248
0705,Dr King Plaza & North Harrison,96.0,family,RPM Development,"77 Park St, Montclair 07402","Dr King Plaza | Apartments in East Orange, NJ",HMFA,7017.0,(973) 744-5410 x 130
0705,East Orange Community Homes 1 / Chelsea Av Apts,46.0,family,Creative Capital Group,"50 Union Av, ste 505: Irvington 07555",,HUD,7018.0,(973) 371-2800
0705,East Orange Community Homes 2,93.0,family,William Realty Corp,7 S Maple Av; East Orange 07018,,HUD,7018.0,(973) 676-5344
0705,East Orange housing rehab ,25.0,,City of East Orange,"44 City Hall Plaza, East Orange 07018","East Orange, NJ | Official Website (eastorange-nj.gov)",MtL,7018.0,(973) 266-5151
0705,Eaton Pl Apts,12.0,family,East Orange Housing Authority,"7 Glenwood Av, suite 304 A, East Orange 07107",East Orange Housing Authority (eoha.org),hmfa,7017.0,(973) 678-0250
0705,Essex Valley supportive housing ,24.0,special,East Orange General Hospital,"300 Central Av, East Orange 07018",Community Support Services - East Orange General Hospital (evh.org),tax credit,7018.0,(973) 395-4164
0705,Grove Houses Apts,32.0,family,Leferra Shapiro Mgt,"60 Evergreen Pl, East Orange 07018",,HUD,7018.0,(973) 676-0161
0705,Hampshire House,116.0,family,Related Mgt Co,"423 W 55th St, ste 10, NY, NY 10019","Hampshire House | East Orange, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7017.0,(973) 677-2638
0705,"Hands, McChesney St",5.0,family,Hands Inc,"15 S Essex Av, Orange 07050",,MtL,7018.0,(973) 678-3110
0705,Heritage House Apts,204.0,age,Related Mgt Co,"423 W 55th St, ste 10, NY, NY 10019","Heritage House | East Orange NJ Subsidized, Low-Rent Apartment (housingapartments.org)",tax credit,7018.0,(973) 677-9111
0705,Housing Horizons of East Orange,6.0,family,Regan Development Corp,"1055 Saw Mill River Rd, Ardsley, NY 10502",Housing Horizons of East Orange | Regan Development,MtL,7018.0,(609) 344-8811
0705,Isaiah House homeless prevention,46.0,special needs,,,,HMFA,7017.0,(973) 678-5882
0705,King Plaza at N Harrison St / Essex Housing preservation,79.0,family,RPM Development,"77 Park St, Montclair 07042",RPM Development Group,MtL,7018.0,(973) 744-5410
0705,Kuzuri Kijiji,247.0,family,Community Realty Mgt,"36 S Main St, Pleasantville 08232",Properties - Community Realty Management (CRM) (crmresidential.com),HMFA,7018.0,(973) 672-1155
0705,Landmark Crossing ,22.0,,City of East Orange,"44 City Hall Plaza, East Orange 07018","East Orange, NJ | Official Website (eastorange-nj.gov)",MtL,7018.0,(973) 266-5151
0705,McIver Homes,87.0,age,Carthage Real Estate Advisors,"2005 Adam Clayton Powell Jr Blvd, 1st fl, NY, NY 10027",,HMFA,7018.0,(973) 673-0202
0705,Norman Towers,406.0,age,,"500 N Walnut St, East Orange 07017","Norman Towers | East Orange, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7017.0,(973) 674-1918
0705,North Oraton Senior Apts,42.0,age,,,,tax credit,7017.0,(973) 674-3074
0705,Park Av Apts / 725 Park Av,49.0,family,RPM Development,"77 Park St, Montclair 07402","725 Park Avenue | Apartments in East Orange, NJ",HMFA,7017.0,(973) 744-5410 x 130
0705,Park Terrace Apts / Ruth Parker,38.0,family,East Orange Housing Authority,7 Glenwood Av ste 419D; East Orange 07107,East Orange Housing Authority (eoha.org),HUD,7017.0,(973) 766-8896
0705,Pavillion Senior Apts / Bayville,297.0,age,R P Marzulli Realty,"264 Belleville Av, Bloomfield 07003","The Pavilion | East Orange, NJ Low Income Apartments (affordablehousingonline.com)",HMFA,7017.0,(973) 677-3332
0705,Peter Antonellis Towers / Harrison Arms,111.0,age,Region 9 Housing Corp,"88 Huntington St, New Brunswick 08901",Peter Antonellis Towers | Region Nine Housing Corporation (rnhousing.org),HMFA,7018.0,(973) 678-5150
0705,Princeton St Operations,7.0,family,Hands Inc,"15 S Essex Av, Orange 07050",,MtL,7018.0,(973) 678-3110
0705,Project Live 11 consumer group home,4.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,HUD,7018.0,(973) 481-0195
0705,Prospect Park Apts,129.0,age,Capital Realty Group,"86 Rte 59 East, Spring Valley NY 10977",,HMFA,7107.0,(973) 678-7836
0705,South Munn Court Yard Apts,50.0,family,Kahr Real Estate Group,"99 Hudson St, 3rd fl, NY 10013","South Munn Court Yard 428 | East Orange, NJ Low Income Apartments (affordablehousingonline.com)",tax credit,7018.0,(973) 358-4735
0705,South Walnut St Apts,40.0,family,Newman Realty,"24 Commerce St, ste 1200, Newark 07102",,HMFA,7018.0,(516) 599-2800
0705,Vista Village,180.0,age,East Orange Housing Authority,"7 Glenwood Av, suite 304 A, East Orange 07107",EOHA Contact List | East Orange Housing Authority | United States,PHA,7018.0,(973) 766-8896
0707,Brookplace,4.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",Brookplace | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,Fairfield accessory apartment program,,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",Fairfield Accessory Apartment Program | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,Magnolia Lane,4.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",Magnolia Lane | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,One 61 at Fairfiled,3.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",One 61 at Fairfield | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,Stonybrook Brownstones,3.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",Stonybrook Brownstones | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,Tuscany Village,4.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",Tuscany Village | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,View at Fairfield,6.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",The View at Fairfield | Piazza & Associates Inc. (piazzanj.com),MtL,7004.0,(609) 786-1100 x 300
0707,Woodcrest at Fairfield / Amchu Assoc,26.0,age,Piassa & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",,MtL,7004.0,(973) 364-9690
0708,Project Live 8  group home,3.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,HUD,7028.0,(973) 481-0195
0709,Irvington Housing Authority,,,Irvington Housing Authority,"101-A Union Av, Irvington, 07111",Home | ihanj,PHA,7111.0,(973) 375-1848
0709,Berkeley Terrace Apts,152.0,family,,,,HUD,7111.0,(732) 383-7715
0709,Camptown Gardens 1,141.0,age,Irvington Housing Authority,"101-A Union Av, Irvington, 07111",Home | ihanj,PHA,7111.0,(973) 375-1848
0709,Camptown Gardens 2,190.0,age,Irvington Housing Authority,"101-A Union Av, Irvington, 07111",Home | ihanj,PHA,7111.0,(973) 375-1848
0709,Camptown Gardens 3,241.0,age,Irvington Housing Authority,"101-A Union Av, Irvington, 07111",Home | ihanj,PHA,7111.0,(973) 375-1848
0709,Camptown Gardens Family Apts,124.0,family,Irvington Housing Authority,"101-A Union Av, Irvington, 07111",Home | ihanj,PHA,7111.0,(973) 375-1848
0709,Edward & Lois Gray Apts  / Irvington Sr Cit,129.0,age,Region 9 Housing Corp,"88 Huntington St, New Brunswick 08901",Edward and Lois Gray Apartments | Region Nine Housing Corporation (rnhousing.org),HMFA,7111.0,(973) 375-9551
0709,Irvington Gardens,39.0,family,,,,HUD,7111.0,(973) 399-3989
0709,Irvington Senior Apts / Edward Gray Apts,134.0,age,,,,HUD,7111.0,(973) 375-9551
0709,Irvington transitional housing ,14.0,special,,,,MtL,7111.0,(973) 819-7411
0709,Manor Apts,6.0,family,,323 N Broad St ,"1-7 Tremont Ter, Irvington, NJ 07111 Apartments - Irvington, NJ | Apartments.com",MtL,7111.0,(908) 352-4987
0709,Summit Apts,12.0,family,,,"The Summit | Irvington, NJ Low Income Apartments (affordablehousingonline.com)",MtL,7111.0,(908) 354-4424
0710,660 S Orange Av,12.0,family,Marc Associates LLC,"171 Matawan Av, Matawan 07747",,MtL,7039.0,(732) 566-5990
0710,ARC of Essex County group homes,12.0,special,Essex County ARC,"123 Naylor Av, Livingston 07039",The Arc of Essex County (arcessex.org),MtL,7039.0,(973) 535-1181
0710,Cedar St Commons / Livingston Senior Apts,33.0,age,Cedar St Commons,"156 E Cedar St, Livingston 07039",Your Home | Senior Home (cedarstcommons.com),MtL,7039.0,(973) 535-1980
0710,Cerebral Plasy Livingston group home,6.0,special,Pillar Care / Cerebral Palsy of North Jersey,"220 S Orange Av, ste 300, Livingston  07039",Pillar Care Continuum (pillarnj.org),HUD,7039.0,(973) 763-9900
0710,Cider Mill townhouses,12.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7039.0,(609) 664-2769
0710,Fairways / Rosedale Manor / Rosedale Estates ,32.0,family,LPZ Mgt,"1325 Morris Av, Union 07083","Rosedale Manor in Livingston, NJ (urbanedge.apartments)",MtL,7039.0,(908) 686-0488
0710,Forest Park Commons,2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7039.0,(609) 664-2769
0710,Hillside Club,16.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",The Hillside Club | Piazza & Associates Inc. (piazzanj.com),MtL,7039.0,(609) 786-1100 x 300
0710,Jewish Services for the Developmentally Disabled group home,4.0,special,Jewish Service for Developmentally  Disabled,"395 Pleasant Valley, West Orange 07052",Home - Jewish Services for the Developmentally Disabled (jsddmetrowest.org),MtL,7309.0,(973) 272-7148
0710,"Livingston Habitat, 2 single-family houses",2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7309.0,(609) 664-2769
0710,Livingston housing rehab program / Essex County housing rehab,14.0,special,Livingston Township,"357 S Livingston Av, Livingston 07039","Livingston Township, NJ | Official Website (livingstonnj.org)",MtL,7039.0,(973) 992-5000
0710,ParkVue at Livingston,44.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",ParkVue at Livingston | Piazza & Associates Inc. (piazzanj.com),MtL,7039.0,(609) 786-1100 x 300
0710,Project Live Inc group home,5.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,MtL,7039.0,(973) 481-0195
0710,Universal Institute supportive housing,23.0,special,Universal Essex LLC,"3311 State Rte 33, Neptune 07753",Corporate - UI Rehab Corporate site,MtL,7039.0,(973) 992-8181
0711,1701 Springfield Av,3.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7040.0,(609) 664-2769
0711,Alvia,2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7040.0,(609) 664-2769
0711,Avalon at Maplewood,6.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7040.0,(609) 664-2769
0711,Cerebral Palsy of North Jersey / CPNJ,3.0,special,Cerebral Palsy of North Jersey / CPNJ,"220 S Orange Av, ste 300, Livingston 07039",Pillar Care Continuum (pillarnj.org),MtL,7040.0,(973) 535-2680
0711,Community Action for Independent Living / Community Options Inc,5.0,special,Community Option Inc,"16 Farber Rd, Princeton 08540","Community Options, Inc. (comop.org)",MtL,7040.0,(609) 951-9900
0711,Essex County ARC group homes 1 - 3,5.0,special,Essex County ARC,"123 Naylon Av, Livingston 07039",The Arc of Essex County (arcessex.org),MtL,7040.0,(973) 693-5080
0711,Maplewood / Essex County housing rehab,18.0,,Maplewood Township,"574 Valley St, Mapplewood 07040",Maplewood NJ |,MtL,7040.0,(973) 762-8120
0711,Maplewood affordable housing program,53.0,,Maplewood Township,"574 Valley St, Mapplewood 07040",Maplewood NJ |,MtL,7040.0,(973) 762-8120
0711,Maplewood  group home,3.0,special,Collaborative Support Programs of NJ,"11 Spring St, Freehold  08977",CSPNJ,HUD,7040.0,(732) 780-1175
0711,Maplewood Crossing,16.0,family,Maplewood Crossing,"92-8 Burnett Av, Maplewood 07040",Maplewood crossing,MtL,7040.0,(973) 769-2579
0711,Maplewood homeownership program,3.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7040.0,(609) 664-2769
0711,Maplewood Lofts,5.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7040.0,(609) 664-2769
0711,"Maplewood rentals, scattered sites",2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512","Community Grants, Planning & Housing | Good People. Great Results. (cgph.net)",MtL,7040.0,(609) 664-2769
0711,Maplewood Senior Apts,114.0,age,,,,HMFA,7040.0,(973) 763-4578
0711,Maplewood supportive living,5.0,special,Jewish Service for Developmentally  Disabled,"395 Pleasant Valley, West Orange 07052",Contact Us - Jewish Services for the Developmentally Disabled (jsddmetrowest.org),MtL,7040.0,(973) 272-7148
0711,Our House special needs housing,6.0,special,Our House Inc,"76 N Floral Av, Murray Hill 07974",Our House – Fulfilling experiences (ourhousenj.org),MtL,7040.0,(973) 761-8732
0711,Parc at Maplewood Station / Station House,4.0,family,Station House at Maplewood,,"Station House Apartments - Maplewood, NJ | Apartments.com",MtL,7040.0,(973) 253-4519
0711,Project Live 1 & 2 group homes ,6.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,MtL,7040.0,(973) 481-1211
0711,Project Live 5  group home,3.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,HUD,7040.0,(973) 481-0195
0711,Project Live 6  group home,3.0,special,Project Live Inc,"465-75 Broadway, Newark 07104",Project Live,HUD,7040.0,(973) 481-0195
0712,Upton Short Hills,30.0,family,Piazza & Associates,"Princeton Forrestal Village, 216 Rockingham Row, Princeton 08540",The Upton Short Hills | Piazza & Associates Inc. (piazzanj.com),MtL,7078.0,(609) 786-1100 x 300
0713,Montclair Housing Authority,,,Montclair Housing Authority,"205 Claremont Av, Montclair 07042",Affordable Housing - Montclair Township (montclairnjusa.org),PHA,7042.0,(973) 509-4936
0713,11 Elm St Apts,14.0,family,,,,HMFA,7042.0,(973) 571-1618
0713,2 South Willow Apts,20.0,family,,CGP&H,"Two South Willow - Luxury Apartments in Montclair, NJ",MtL,7042.0,(973) 771-5350
0713,24 Elm St,2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,55 Glenridge Av Apts,6.0,family,HOMECorp,"17 Talbot St, Montclair 07042",,HMFA,7042.0,(973) 744-4141
0713,58 Maple St,2.0,family,Homes of Montclair Ecumenical Group,"1 Woodland Av, Montclair 07042","HOMECorp - Affordable Housing - Montclair, New Jersey",MtL,7042.0,(973) 744-4141
0713,Covenant House youth group home,8.0,special,Convenant House,"330 Washington St, Newark 07102",Helping Homeless Children & Youth | Covenant House,MtL,7042.0,((973) 621-8705
0713,Essex County ARC group homes 1 & 2,10.0,special,Essex County ARC,"123 Naylon Av, Livingston 07039",The Arc of Essex County (arcessex.org),MtL,7042.0,(973) 693-5080
0713,First Montclair House / Montclair Senior Housing,131.0,age,First Montclair Housing Corp,"56 Walnut St, Montclair 07402",,HMFA,7042.0,(973) 746-0895
0713,Home Corp,41.0,family,HOMECORP,Homes of Montclair Ecumenical Corp,"HOMECorp - Affordable Housing - Montclair, New Jersey",MtL,7042.0,(973) 744-4141
0713,Matthew Carter Apts,126.0,family,Rainbow Property Mgt,"75 Livingston Av, Roseland 07068",Rainbow Property Management (rainbowpropertymgt.com),HMFA,7042.0,(973) 746-9165
0713,Mental Health Assoc of Essex County,12.0,special,Mental Health Association of Essex County,"33 S Fullerton Av, Montclair  07042","Mental Health Association in Essex County, Inc. | Mental Health Education Assistance (mhainessex.com)",MtL,7042.0,(973) 509-9777
0713,Miller St Homes / Miller St Cottages,9.0,family,Homes of Montclair Ecumenical Group,"1 Woodland Av, Montclair 07042","HOMECorp - Affordable Housing - Montclair, New Jersey",MtL,7042.0,(973) 744-4141
0713,Montclair for-sale housing,31.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",allamuchy_mountainridge_photo - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Montclair housing rehab,56.0,,Montclair Township,"205 Claremont Av, Montclair 07042",Home - Montclair Township (montclairnjusa.org),MtL,7042.0,(973) 509-4953
0713,Montclair Inn single room occupancy / Montcliar shared housing,17.0,special,,,"The Montclair Inn – Support affordable, independent senior living in Montclair, NJ",MtL,7042.0,(973) 746-8917
0713,Montclair Mews,36.0,family,Development Corp Property Mgt Services,"12 Furler St, Totowa 07512",Montclair Mews Apartments,MtL,7042.0,(973) 785-0441
0713,Montclair Residences at Bay St,17.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Montclair Senior Housing / Pineridge / Glennridge Av,48.0,age,United Methodist Homes of NJ,"3311 State Rte 33, Neptune 07753",Welcome to PineRidge of Montclair | United Methodist Communities (umcommunities.org),MtL,7042.0,(732) 922-9800
0713,Montclarion,56.0,family,,,"The Montclarion | Apartments in Montclair, NJ (montclarion1.com)",HMFA,7042.0,(973) 746-7312
0713,Montclarion at Bay St Station,2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Pineridge at Montclair / Glennridge / Montclair Senior Hsg,47.0,age,United Methodist Homes of NJ,"60 Glenridge Av, Montclair 07042",Welcome to PineRidge of Montclair | United Methodist Communities (umcommunities.org),HUD,7402.0,(973) 766-0003
0713,Siena,10.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,South End Gardens / Montclair Senior Apts,99.0,age,,,"South End Gardens Apartments - Montclair, NJ | Apartments.com",HUD,7042.0,(973) 746-1537
0713,Talbot Village,6.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Union Gardens,87.0,family,,,"Union Gardens Apartments - Montclair, NJ | Apartment Finder",HMFA,7042.0,(973) 746-9055
0713,Valley & Bloom,26.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Vestry,8.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Washington St Apts,9.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0713,Westerly,2.0,family,"Community Grants, Planning, & Housing (CGP&H)","1249 South River Rd, ste 301, Cranbury 08512",Locations - CGP&H (affordablehomesnewjersey.com),MtL,7042.0,(609) 664-2769
0714,Newark Housing Authority,,,Newark Housing Authority,"500 Broad St, Newark 07102",Home (newarkha.org),PHA,7102.0,(973) 273-6000
0714,103 Magazine St Apts,4.0,family,Ironbound Rentals,"130 Walnut St, Newark 07105",,MtL,7105.0,(973) 465-1640
0714,144-50 Brunswick St Apts,18.0,family,,,"Low Income Housing in Newark, NJ - Affordable Apartments That Accept Vouchers in Newark, NJ (hellosection8.com)",tax credit,7114.0,(908) 591-3882
0714,262-72 Sherpard Av Apts,26.0,family,M & M Development LLC,"103 Magazine St, Newark 07105",M&M Development LLC – More than four walls and a roof (mmdevelopmentllc.com),tax credit,7105.0,(973) 491-9494
0714,527 Mt Prospect Apts,7.0,family,RPM Development,"77 Park St, Montclair 07042 ","527 Mt Prospect | Apartments in Newark, NJ",tax credit,7104.0,(973) 744-5410 x 149
0714,540 Broad St Apts,263.0,family,L & M Developers,"1865 Palmer Av, ste 203, Larchmont, NY 10538",,tax credit,7102.0,(914) 833-3000
